transcription,duration,up_votes,down_votes,age,gender,accent,transcription_original,transcription_clean,word_count,char_count,pitch_mean,energy_mean,zcr_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
Akşamüzeri Maria'yı hemen seyahate hazır bir şekilde görünce adamakıllı şaşırdım.,5.472,2,0,fifties,male_masculine,unknown,Akşamüzeri Maria'yı hemen seyahate hazır bir şekilde görünce adamakıllı şaşırdım.,akşamüzeri mariayı hemen seyahate hazır bir şekilde görünce adamakıllı şaşırdım,10,79,208.56006387939146,0.13111982,0.11695636094674557,-202.62602,94.842186,13.062448,31.155592,-18.111694,-14.086827,-35.200367,-9.292099,-35.206776,-6.6711483,-26.922794,-1.9745244,-13.153803
Fakat işinize geç kalacaksınız!,2.088,2,0,fifties,male_masculine,unknown,Fakat işinize geç kalacaksınız!,fakat işinize geç kalacaksınız,4,30,185.6244326268612,0.102352165,0.24608599950396826,-194.48634,53.377712,21.730362,25.580973,-20.650835,-2.3856905,-40.461525,-2.9130683,-41.319107,1.7252556,-25.409897,8.352751,-23.201277
"Uykuda bile olsa uyandırmak kararıyla, evinin yolunu tuttum.",4.104,2,0,fifties,male_masculine,unknown,"Uykuda bile olsa uyandırmak kararıyla, evinin yolunu tuttum.",uykuda bile olsa uyandırmak kararıyla evinin yolunu tuttum,8,58,202.22081663332816,0.12877332,0.06989397321428571,-242.53563,115.50815,16.227322,29.997856,-27.999577,-15.261888,-15.810528,-19.996874,-33.382954,-12.357852,-20.75391,-4.491253,-14.174821
Sizi bırakmama imkân var mı?,1.872,2,0,fifties,male_masculine,unknown,Sizi bırakmama imkân var mı?,sizi bırakmama imkn var mı,5,26,205.64025372010548,0.11141346,0.1069507264254386,-234.9272,128.2224,7.541907,12.92713,-26.387333,-15.386368,-17.224703,-11.725881,-37.95622,-7.415018,-18.312428,0.9742884,-14.559379
Kolumdan tuttu.,1.296,2,0,fifties,male_masculine,unknown,Kolumdan tuttu.,kolumdan tuttu,2,14,198.2805552633502,0.08949955,0.06969572368421052,-294.97125,126.66671,23.858791,25.726421,-41.766933,-19.777315,8.563891,-17.840164,-43.569923,-9.480035,-16.867252,-7.2052517,-11.761125
Neden bana bu kadar dikkatli bakıyorsunuz?,2.7,2,0,fifties,male_masculine,unknown,Neden bana bu kadar dikkatli bakıyorsunuz?,neden bana bu kadar dikkatli bakıyorsunuz,6,41,182.24968083324785,0.09417105,0.1138231230945122,-252.69417,107.95168,11.440471,28.350145,-18.669394,-10.292019,-20.95477,-16.246748,-35.337204,-2.931409,-22.572084,0.7043697,-14.469941
Vagonun sarsıntılarıyla kımıldayan başını görür gibi oluyordum.,4.104,2,0,fifties,male_masculine,unknown,Vagonun sarsıntılarıyla kımıldayan başını görür gibi oluyordum.,vagonun sarsıntılarıyla kımıldayan başını görür gibi oluyordum,7,62,194.747912758866,0.11932501,0.09986126612103174,-230.89386,115.77906,15.658659,28.56434,-24.516357,-8.799244,-18.411797,-9.140899,-40.062927,-9.913579,-23.234674,-2.9935367,-10.18674
Oda henüz karanlıktı.,1.584,2,0,fifties,male_masculine,unknown,Oda henüz karanlıktı.,oda henüz karanlıktı,3,20,188.57083931025727,0.11006777,0.1198262965425532,-228.7938,105.78559,11.774633,21.624477,-23.110577,-12.567617,-22.351109,-14.4049425,-35.214127,0.67710996,-21.180216,-0.24613102,-12.633947
Hasta zamanlarında da işini ihmal etmezdi.,2.88,2,0,fifties,male_masculine,unknown,Hasta zamanlarında da işini ihmal etmezdi.,hasta zamanlarında da işini ihmal etmezdi,6,41,197.64838544714857,0.125603,0.1300381747159091,-212.72006,94.63054,31.45182,22.921658,-28.873198,-9.352686,-28.699495,-8.62753,-42.55029,0.44310796,-28.175947,-0.707415,-15.942794
Onlarla aramda bir mesafe teşekkül etmişti.,3.096,2,0,fifties,male_masculine,unknown,Onlarla aramda bir mesafe teşekkül etmişti.,onlarla aramda bir mesafe teşekkül etmişti,6,42,201.6107774177814,0.14499302,0.13454226230053193,-204.44128,93.416336,19.568958,40.167843,-23.349396,-14.32976,-29.930555,-9.183697,-32.885223,-1.7018005,-21.89165,2.3982291,-10.532925
Bir gece için bu kadarı çoktu bile.,2.376,2,0,fifties,male_masculine,unknown,Bir gece için bu kadarı çoktu bile.,bir gece için bu kadarı çoktu bile,7,34,202.3776639463141,0.10537772,0.09224446614583333,-245.97168,85.1182,28.720171,56.253067,-16.705193,-18.168264,-22.34572,-9.994146,-31.112728,-10.021656,-28.312283,-0.08689128,-13.348499
Yalnız söyleyebilsem.,1.692,2,0,fifties,male_masculine,unknown,Yalnız söyleyebilsem.,yalnız söyleyebilsem,2,20,189.61336885087073,0.16626915,0.16218596813725492,-211.66751,84.8903,34.774532,31.57511,-21.309158,-11.9500675,-30.596418,-12.447981,-28.486254,-6.334846,-24.398655,3.2787204,-16.354029
Güzel Sanatlar Akademisi.,1.692,2,0,fifties,male_masculine,unknown,Güzel Sanatlar Akademisi.,güzel sanatlar akademisi,3,24,180.3418158593328,0.09429353,0.16230085784313725,-226.11795,83.351425,35.9023,31.158457,-19.185514,-10.752118,-35.41255,-2.944642,-37.424202,4.5653224,-25.556808,4.3027205,-13.98193
"Bir an evvel eve gidip yatağıma serilmek, derhal uyumak ve manasız vehimlerden kurtulmak istiyordum.",6.696,2,0,fifties,male_masculine,unknown,"Bir an evvel eve gidip yatağıma serilmek, derhal uyumak ve manasız vehimlerden kurtulmak istiyordum.",bir an evvel eve gidip yatağıma serilmek derhal uyumak ve manasız vehimlerden kurtulmak istiyordum,14,98,194.11478727861746,0.105552666,0.11405731053743962,-248.40338,101.67603,21.923027,32.4709,-23.129108,-16.012712,-25.214575,-9.201344,-33.87097,-7.12099,-23.150677,-0.96631896,-9.84424
Koluma girerek beni eve doğru sürükledi.,2.484,2,0,fifties,male_masculine,unknown,Koluma girerek beni eve doğru sürükledi.,koluma girerek beni eve doğru sürükledi,6,39,194.1169247832097,0.1476783,0.08504445929276316,-226.38574,102.0368,19.701403,49.55073,-17.362913,-19.97901,-21.557716,-10.754895,-32.204697,-9.197614,-25.71469,-1.7762632,-9.279625
"Böyle birkaç ay, birkaç ömür kıymetinde değil midir?",3.384,2,1,fifties,male_masculine,unknown,"Böyle birkaç ay, birkaç ömür kıymetinde değil midir?",böyle birkaç ay birkaç ömür kıymetinde değil midir,8,50,200.64440052200467,0.107277855,0.09824312650240384,-237.86662,85.639496,12.696601,46.027016,-9.315351,-15.273522,-35.402767,-12.057458,-30.028166,-10.448175,-25.07184,-3.3064406,-15.602133
Yaşamakta ne buluyorlar?,1.8,2,0,fifties,male_masculine,unknown,Yaşamakta ne buluyorlar?,yaşamakta ne buluyorlar,3,23,187.84643771422128,0.10444644,0.13512731481481483,-225.07643,91.56466,-16.835947,31.228016,-22.75071,-16.993752,-19.278086,-5.0559325,-33.96252,-6.050488,-12.761453,4.0474668,-16.608559
Bazan aramızda aşk meselelerinden bahsettiğimiz olurdu.,3.672,2,0,fifties,male_masculine,unknown,Bazan aramızda aşk meselelerinden bahsettiğimiz olurdu.,bazan aramızda aşk meselelerinden bahsettiğimiz olurdu,6,54,199.41606632124,0.11010337,0.11925297289823009,-239.56459,106.50462,25.492735,16.897911,-32.36842,-9.895651,-20.52563,-10.126903,-41.88554,-3.9685285,-21.073442,-2.0163028,-16.136633
Şu halde neden burada kalamıyordum?,2.088,2,0,fifties,male_masculine,unknown,Şu halde neden burada kalamıyordum?,şu halde neden burada kalamıyordum,5,34,199.97209141868566,0.13034676,0.06689453125,-207.92912,126.749275,4.7530856,17.86314,-27.273851,-4.6176476,-21.215876,-13.38058,-41.37426,-6.674185,-19.880808,1.0065799,-8.713181
"Gördüğü şeyden memnun olduğunu, yüzünü saran o belli belirsiz gülümsemeden anlıyordum.",5.472,2,0,fifties,male_masculine,unknown,"Gördüğü şeyden memnun olduğunu, yüzünü saran o belli belirsiz gülümsemeden anlıyordum.",gördüğü şeyden memnun olduğunu yüzünü saran o belli belirsiz gülümsemeden anlıyordum,11,84,199.15771808153215,0.11976476,0.08645178439349112,-240.81033,107.3445,21.799574,38.03896,-21.920849,-15.645118,-19.346113,-13.633298,-31.879045,-11.388866,-25.274368,-4.1262856,-10.884622
İkinci defa oynayamam.,1.8,2,0,fifties,male_masculine,unknown,İkinci defa oynayamam.,ikinci defa oynayamam,3,21,197.98621161270626,0.10651346,0.10546875,-235.05812,99.67423,20.49723,32.603485,-39.13999,-16.160118,-13.089822,-4.6204677,-31.082067,-9.708429,-24.818346,4.0880527,-7.4202027
Artık birbirimize veda etmiş bulunuyorduk.,2.772,2,0,fifties,male_masculine,unknown,Artık birbirimize veda etmiş bulunuyorduk.,artık birbirimize veda etmiş bulunuyorduk,5,41,186.37777213567568,0.09014424,0.10333180147058824,-254.07082,101.11927,10.334798,38.337902,-16.336885,-20.632204,-23.113115,-7.2429442,-30.379997,-7.9335117,-24.105566,3.6791766,-14.247791
Dün gece bir saniye bile uyuyamadım.,2.376,2,0,fifties,male_masculine,unknown,Dün gece bir saniye bile uyuyamadım.,dün gece bir saniye bile uyuyamadım,6,35,194.97297155732497,0.13955086,0.09148491753472222,-219.33493,96.92848,20.00354,50.963333,-23.183289,-16.375118,-20.358223,-6.2090616,-32.38316,-13.879955,-27.000784,3.5159826,-16.646688
Bir limonatacıda beş dakika oturmaya razı oldu ve hikâyesine orada devam etti.,5.472,2,0,fifties,male_masculine,unknown,Bir limonatacıda beş dakika oturmaya razı oldu ve hikâyesine orada devam etti.,bir limonatacıda beş dakika oturmaya razı oldu ve hikyesine orada devam etti,12,76,197.96254184668157,0.123781286,0.09784982895710059,-227.91069,99.46303,14.191956,31.96789,-24.88645,-13.648277,-26.573353,-11.612624,-35.044357,-6.867558,-23.584381,-0.51031965,-11.142434
Senelerce kaldım.,1.476,2,1,fifties,male_masculine,unknown,Senelerce kaldım.,senelerce kaldım,2,16,193.29341839906118,0.13262098,0.14194557883522727,-224.01884,94.10375,9.028047,25.412537,-23.61112,-11.1534605,-20.899849,-6.4981503,-31.37417,0.30796817,-22.133173,2.4933558,-15.458471
Her zamanki çocukça tebessümü bana daha ziyade yüzün adalelerini yoran bir sırıtma gibi geldi.,6.48,2,0,fifties,male_masculine,unknown,Her zamanki çocukça tebessümü bana daha ziyade yüzün adalelerini yoran bir sırıtma gibi geldi.,her zamanki çocukça tebessümü bana daha ziyade yüzün adalelerini yoran bir sırıtma gibi geldi,14,93,205.01105751629248,0.1140301,0.10645502953980099,-231.6182,90.941124,17.853928,35.6154,-19.235128,-13.557197,-30.952566,-9.350487,-34.90752,-2.1857224,-26.81719,-2.0707383,-12.205745
Bir hayli yürümüştük.,1.584,2,0,fifties,male_masculine,unknown,Bir hayli yürümüştük.,bir hayli yürümüştük,3,20,182.46890172615824,0.09837973,0.1166472739361702,-237.46622,78.56603,-7.1519094,56.52095,-5.138807,-14.490455,-31.008165,-6.6162124,-25.496735,-12.367766,-24.44341,-2.2295258,-11.574421
Ara sıra kendi kendimizden kurtulup cereyana kapılmak hoş bir şey.,4.284,2,1,fifties,male_masculine,unknown,Ara sıra kendi kendimizden kurtulup cereyana kapılmak hoş bir şey.,ara sıra kendi kendimizden kurtulup cereyana kapılmak hoş bir şey,10,65,183.4694504033303,0.10343767,0.14463852391098486,-220.99754,88.244835,14.372829,34.06853,-22.223541,-13.711812,-28.973448,-6.149703,-34.249348,-5.663598,-25.772701,-1.8703274,-9.9541445
"Hasta, çukura kaçan gözlerini açtı.",2.988,2,0,fifties,male_masculine,unknown,"Hasta, çukura kaçan gözlerini açtı.",hasta çukura kaçan gözlerini açtı,5,33,176.04108098326557,0.0889792,0.16481370192307693,-244.83325,96.1408,19.585587,13.451218,-42.997616,-7.6368074,-23.1974,-13.51416,-25.090275,0.515371,-10.222563,-0.16909523,-8.912595
"Görüyorum ki, Maria Puder'in ölümü sizi alakadar ediyor.",3.6,2,0,fifties,male_masculine,unknown,"Görüyorum ki, Maria Puder'in ölümü sizi alakadar ediyor.",görüyorum ki maria puderin ölümü sizi alakadar ediyor,8,53,193.20700824298714,0.11769863,0.11391157670454545,-223.33156,94.89165,5.6022377,33.721096,-9.120537,-13.681116,-30.585014,-15.680662,-31.057026,-11.00548,-22.86069,-3.2936742,-13.897886
Hemen her akşam değirmenin önündeki meydanlıkta toplanıp ahenk yapıyorduk.,4.788,2,0,fifties,male_masculine,unknown,Hemen her akşam değirmenin önündeki meydanlıkta toplanıp ahenk yapıyorduk.,hemen her akşam değirmenin önündeki meydanlıkta toplanıp ahenk yapıyorduk,9,73,184.20614217436616,0.111073256,0.08655532525510204,-236.20491,134.16515,7.7703815,27.041405,-35.880848,-18.048912,-20.937544,-12.391245,-26.201807,-9.234246,-17.454456,-0.4115442,-4.478816
Belki de on beş.,1.692,2,0,fifties,male_masculine,unknown,Belki de on beş.,belki de on beş,4,15,157.19884537478947,0.08732914,0.14528760723039216,-266.03485,89.35852,-0.44762173,36.46131,-24.126411,-18.303337,-28.118841,-10.076713,-21.94732,0.05888444,-14.916334,0.12838365,-6.080143
Konuşmalarına dikkat ederdim.,1.98,2,0,fifties,male_masculine,unknown,Konuşmalarına dikkat ederdim.,konuşmalarına dikkat ederdim,3,28,182.06792001436568,0.11245136,0.09099934895833334,-240.99266,127.96761,19.761042,24.547005,-35.491245,-8.411109,-24.651669,-16.282095,-30.459633,-7.641424,-13.5140085,-7.7305603,-9.253967
"""Değirmenin içinde çalacağım!"" dedi.",2.376,2,0,fifties,male_masculine,unknown,"""Değirmenin içinde çalacağım!"" dedi.",değirmenin içinde çalacağım dedi,4,32,175.15113578680152,0.113760196,0.09302435980902778,-232.62967,102.02576,23.626923,50.33254,-27.053484,-20.942696,-20.525764,-6.249978,-35.68602,-11.03862,-26.68681,-0.59608,-7.9795704
"Bu akşam konuşup bir çare buluruz, aldırma!",3.276,2,0,fifties,male_masculine,unknown,"Bu akşam konuşup bir çare buluruz, aldırma!",bu akşam konuşup bir çare buluruz aldırma,7,41,189.84397461462453,0.12680672,0.12501933787128713,-234.10344,119.658485,18.439249,21.763186,-50.132263,-13.80307,-9.224539,-13.003546,-33.488007,-3.4043858,-16.593147,1.2119814,-5.500343
Hiç kimsenin benden bir şey beklediği ve benim hiç kimseden bir şey beklediğim yoktu.,5.58,2,0,fifties,male_masculine,unknown,Hiç kimsenin benden bir şey beklediği ve benim hiç kimseden bir şey beklediğim yoktu.,hiç kimsenin benden bir şey beklediği ve benim hiç kimseden bir şey beklediğim yoktu,14,84,187.0919293014352,0.12362844,0.11414993640988372,-240.95349,94.03395,24.238585,55.561966,-25.80802,-23.034838,-24.401154,-5.799048,-30.562609,-11.38027,-24.394497,0.29944682,-11.643087
Evin camları parladığı için pencerelerin arkasında kimse bulunup bulunmadığı görünmüyordu.,6.3,2,0,fifties,male_masculine,unknown,Evin camları parladığı için pencerelerin arkasında kimse bulunup bulunmadığı görünmüyordu.,evin camları parladığı için pencerelerin arkasında kimse bulunup bulunmadığı görünmüyordu,10,89,183.18344591387438,0.13367975,0.09701192010309279,-239.77835,119.57005,18.387718,22.676481,-32.758728,-16.532675,-17.587742,-14.252507,-34.830482,-9.009033,-16.971678,-3.1986184,-8.56889
Yarın buluşuruz.,1.296,2,0,fifties,male_masculine,unknown,Yarın buluşuruz.,yarın buluşuruz,2,15,183.02629719181695,0.11381043,0.19538959703947367,-243.77318,83.27797,18.426695,33.239063,-35.412,-8.614961,-15.396649,-14.003079,-41.275887,0.48324624,-15.912845,-4.2427015,-0.7220674
"Başka Çingene'ler gibi çalmazdı o, adaşım: Bir kere nota bilirdi.",4.68,2,0,fifties,male_masculine,unknown,"Başka Çingene'ler gibi çalmazdı o, adaşım: Bir kere nota bilirdi.",başka çingeneler gibi çalmazdı o adaşım bir kere nota bilirdi,10,61,174.81697294830448,0.124703676,0.10637410481770833,-225.64708,105.30484,15.055891,33.424683,-36.019085,-14.391822,-22.47521,-8.140786,-30.419847,-6.658706,-17.03044,-0.61920315,-7.93299
Kesik kesik nefes aldı.,1.692,2,0,fifties,male_masculine,unknown,Kesik kesik nefes aldı.,kesik kesik nefes aldı,4,22,171.58783429269144,0.09017218,0.19984106924019607,-218.0565,85.635544,43.01091,31.799173,-34.34746,-14.482946,-27.483734,1.8606256,-39.617474,-3.5631382,-20.568108,3.261808,-11.228681
Seninle şöyle bir oturup konuşamadık!,2.484,2,1,fifties,male_masculine,unknown,Seninle şöyle bir oturup konuşamadık!,seninle şöyle bir oturup konuşamadık,5,36,177.22885485767188,0.10112718,0.1231946443256579,-248.6489,114.06759,2.953105,25.941927,-29.067448,-13.617242,-22.14937,-11.83063,-25.913418,-13.639483,-21.145592,-1.1659759,-3.053945
Demek sen böyle de olabiliyorsun?,2.304,2,0,fifties,male_masculine,unknown,Demek sen böyle de olabiliyorsun?,demek sen böyle de olabiliyorsun,5,32,162.8373206407249,0.101447955,0.12266474184782608,-245.40814,120.332726,13.8578005,29.874495,-27.210157,-15.267288,-18.056845,-14.732021,-29.784824,-7.755663,-18.837452,0.32556707,-4.3971405
Katlanmış bir kâğıt uzattı.,1.872,2,0,fifties,male_masculine,unknown,Katlanmış bir kâğıt uzattı.,katlanmış bir kğıt uzattı,4,25,178.9832681947519,0.08764438,0.13302665844298245,-250.5347,107.26784,12.555784,24.237007,-41.85683,-13.016707,-19.72702,-11.210965,-29.997723,-4.031011,-17.683931,5.285587,-5.7665725
Acaba bunlar neden yaşıyorlar?,2.304,2,0,fifties,male_masculine,unknown,Acaba bunlar neden yaşıyorlar?,acaba bunlar neden yaşıyorlar,4,29,186.53584721925205,0.16958438,0.10568812273550725,-200.80385,129.10393,3.686672,19.494585,-37.887,-15.993385,-27.313889,-9.986644,-30.94201,-7.9570346,-8.640559,-2.4135725,-8.546991
Önümde durdu ve elini uzatarak.,2.484,2,0,fifties,male_masculine,unknown,Önümde durdu ve elini uzatarak.,önümde durdu ve elini uzatarak,5,30,182.73150714759458,0.13751619,0.07128263774671052,-232.44641,132.45798,-2.0855987,21.590866,-27.912884,-16.081663,-21.343546,-18.709402,-30.497324,-11.884361,-17.362473,-2.507883,-4.753014
"Babam, mektuplarında coşuyor ve birbiri arkasına vatanperverane cümleler sıralıyordu.",5.688,2,0,fifties,male_masculine,unknown,"Babam, mektuplarında coşuyor ve birbiri arkasına vatanperverane cümleler sıralıyordu.",babam mektuplarında coşuyor ve birbiri arkasına vatanperverane cümleler sıralıyordu,9,83,186.55136422374008,0.116266966,0.11275967684659091,-236.89561,126.34817,10.923573,16.868992,-31.022411,-10.438779,-25.721045,-14.622784,-30.740578,-8.914435,-10.915609,-1.5639611,-6.938121
"Oradan Tiergarten'deki gölcüklerden birinin kenarına gider, yosunlu suları ve kuğuları seyrederdik.",6.588,2,0,fifties,male_masculine,unknown,"Oradan Tiergarten'deki gölcüklerden birinin kenarına gider, yosunlu suları ve kuğuları seyrederdik.",oradan tiergartendeki gölcüklerden birinin kenarına gider yosunlu suları ve kuğuları seyrederdik,11,96,176.503665337389,0.097597264,0.11319747625612746,-242.77585,107.72124,18.275003,40.24919,-34.65586,-7.033903,-21.161177,-18.990284,-26.680155,-8.50457,-12.754423,-2.8698187,-10.322088
Siz uyanalı çok oldu mu?,1.98,2,0,fifties,male_masculine,unknown,Siz uyanalı çok oldu mu?,siz uyanalı çok oldu mu,5,23,187.17536062276199,0.08851392,0.175,-294.3771,100.03684,54.036453,31.942425,-47.94002,-5.437474,-7.3794107,-7.3075643,-25.57022,-11.183624,-22.44721,2.5953205,-11.149598
Bir müddet sustuk.,1.476,2,0,fifties,male_masculine,unknown,Bir müddet sustuk.,bir müddet sustuk,3,17,184.412032270903,0.09987943,0.1148681640625,-266.04343,88.51323,18.538202,42.51502,-26.849623,-5.2440166,-11.301346,-22.211191,-28.636852,-17.297981,-14.818463,-2.7441893,-11.30842
"Şimdi kafası eskisi gibi ev dertleri, yemek ve çamaşır işleriyle doluydu.",4.896,2,0,fifties,male_masculine,unknown,"Şimdi kafası eskisi gibi ev dertleri, yemek ve çamaşır işleriyle doluydu.",şimdi kafası eskisi gibi ev dertleri yemek ve çamaşır işleriyle doluydu,11,71,181.09907361087122,0.11018138,0.14034043874172186,-217.97478,84.28779,23.707518,58.29998,-23.63855,-14.674446,-28.764145,-9.957206,-31.416824,-9.742826,-24.91657,2.8038516,-11.418822
"Ortalara doğru gözlerim, katalogda gördüğüm kelimelerin üzerinde mıhlanıp kaldı.",5.004,2,0,fifties,male_masculine,unknown,"Ortalara doğru gözlerim, katalogda gördüğüm kelimelerin üzerinde mıhlanıp kaldı.",ortalara doğru gözlerim katalogda gördüğüm kelimelerin üzerinde mıhlanıp kaldı,9,78,173.60588951974037,0.12551063,0.07656503652597403,-227.85669,122.57762,25.888649,32.109756,-38.312046,0.21735303,-16.201937,-24.26824,-27.504398,-10.161947,-15.799551,-4.0579834,-9.901733
Halbuki bende onun bakışlarını karşılayacak cesaret yoktu.,3.888,2,0,fifties,male_masculine,unknown,Halbuki bende onun bakışlarını karşılayacak cesaret yoktu.,halbuki bende onun bakışlarını karşılayacak cesaret yoktu,7,57,181.27067241913727,0.14649378,0.12210724133403361,-207.44798,118.92417,17.019669,27.330534,-37.50488,-4.223035,-23.12606,-18.4161,-33.510952,-5.7833343,-14.434039,-5.146,-9.025749
Başını çevirmeden sordu.,1.8,2,1,fifties,male_masculine,unknown,Başını çevirmeden sordu.,başını çevirmeden sordu,3,23,167.19564199538618,0.13047123,0.10925745081018519,-211.62454,104.57515,16.585373,36.63686,-31.15193,-11.135808,-15.757185,-11.47324,-34.278755,-8.658573,-19.129427,1.5491658,-9.249375
Ve evden yüz elli metre kadar ötedeki bir kanepede biraz dinleniyorduk.,4.104,2,0,fifties,male_masculine,unknown,Ve evden yüz elli metre kadar ötedeki bir kanepede biraz dinleniyorduk.,ve evden yüz elli metre kadar ötedeki bir kanepede biraz dinleniyorduk,11,70,169.91783478912188,0.11263445,0.08308531746031746,-215.07994,106.31595,10.55894,53.74885,-20.251299,-9.905677,-30.011663,-17.629244,-20.99004,-13.888269,-19.620604,-1.8451426,-7.149816
"Onunla konuşmak, hakiki hüviyetine dair bir şeyler öğrenmek için her fırsattan istifadeye kalktım.",6.3,2,0,fifties,male_masculine,unknown,"Onunla konuşmak, hakiki hüviyetine dair bir şeyler öğrenmek için her fırsattan istifadeye kalktım.",onunla konuşmak hakiki hüviyetine dair bir şeyler öğrenmek için her fırsattan istifadeye kalktım,13,96,177.75302677921718,0.11710983,0.11915320956829897,-232.76341,109.5772,27.825243,39.870174,-39.125473,-6.8919406,-23.582685,-13.196203,-30.356098,-12.52793,-14.869797,0.67113084,-11.727675
"Yani hakikaten kuvvetli, tam bir erkek.",3.204,2,0,fifties,male_masculine,unknown,"Yani hakikaten kuvvetli, tam bir erkek.",yani hakikaten kuvvetli tam bir erkek,6,37,165.44714532565914,0.08103114,0.1018041237113402,-254.2789,105.35399,6.286484,36.690716,-28.129238,-5.707586,-29.521027,-10.956266,-22.231665,-6.56881,-16.016579,-2.9942217,-6.718957
